GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tenants_Mangment,com.smart_padel.spvending_management_api.club.infrastructure.dto,ClubPagePreviewSwagger,3,0,0,0,1,0,1,0,1,0
Tenants_Mangment,com.smart_padel.spvending_management_api.club.infrastructure.dto,ClubPagePreviewSwagger.PageInfo,3,0,0,0,1,0,1,0,1,0
Tenants_Mangment,com.smart_padel.spvending_management_api.machine.infrastructure.persistence.adapters,MachineRepositoryAdapter,0,94,0,0,0,21,0,7,0,7
Tenants_Mangment,com.smart_padel.spvending_management_api.machine.infrastructure.dto.mapper,MachineMapper,7,89,0,0,2,30,1,3,1,3
Tenants_Mangment,com.smart_padel.spvending_management_api.club.infrastructure.utils,ClubSearchHelper,0,22,1,3,0,6,1,3,0,2
Tenants_Mangment,com.smart_padel.spvending_management_api.club.infrastructure.utils,ClubSpecification,9,14,0,0,0,4,1,3,1,3
Tenants_Mangment,com.smart_padel.spvending_management_api.club.infrastructure.utils,ClubHelperAdapter,0,29,0,2,0,6,0,5,0,4
Tenants_Mangment,com.smart_padel.spvending_management_api.tenant.infrastructure.rest.controller,DeleteTenantController,0,9,0,0,0,2,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.tenant.infrastructure.rest.controller,GetTenantController,0,82,1,5,0,14,1,6,0,4
Tenants_Mangment,com.smart_padel.spvending_management_api.tenant.infrastructure.rest.controller,PostTenantController,0,15,0,0,0,3,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.tenant.infrastructure.rest.controller,PutTenantController,0,16,0,0,0,3,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.user_manager.application.usecases,UpdateUserManagerUseCaseImpl,0,6,0,0,0,1,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.user_manager.application.usecases,CreateUserManagerUseCaseImpl,0,7,0,0,0,1,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.user_manager.application.usecases,RetrieveUserManagerUseCaseImpl,0,11,0,0,0,2,0,2,0,2
Tenants_Mangment,com.smart_padel.spvending_management_api.user_manager.application.usecases,DeleteUserManagerUseCaseImpl,0,5,0,0,0,2,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.machine.infrastructure.utils,MachineHelperAdapter,0,24,0,4,0,7,0,4,0,2
Tenants_Mangment,com.smart_padel.spvending_management_api.machine.infrastructure.utils,MachineSpecification,12,28,1,5,0,8,3,5,2,3
Tenants_Mangment,com.smart_padel.spvending_management_api,SPVendingManagementApplication,10,3,2,0,2,1,2,1,1,1
Tenants_Mangment,com.smart_padel.spvending_management_api.shared.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.shared.exceptions,ParamRequiredException,0,4,0,0,0,2,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.shared.exceptions,NotResourcesFoundException,0,4,0,0,0,2,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.shared.exceptions,EncryptionException,0,5,0,0,0,2,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.shared.exceptions,TokenNotFoundException,0,4,0,0,0,2,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.shared.exceptions,ResourceAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.security.config,SecurityConfig,123,0,8,0,24,0,10,0,6,0
Tenants_Mangment,com.smart_padel.spvending_management_api.security.config,AppConfig,37,0,0,0,7,0,6,0,6,0
Tenants_Mangment,com.smart_padel.spvending_management_api.security.config,JwtAuthenticationFilter,15,110,11,17,0,25,11,5,0,2
Tenants_Mangment,com.smart_padel.spvending_management_api.user_manager.infrastructure.dto.mapper,UserManagerMapper,7,92,0,0,2,31,1,3,1,3
Tenants_Mangment,com.smart_padel.spvending_management_api.user_manager.infrastructure.utils,UserManagerHelperAdapter,0,89,0,24,0,21,0,16,0,4
Tenants_Mangment,com.smart_padel.spvending_management_api.user_manager.infrastructure.utils,UserManagerSpecification,0,11,0,0,0,3,0,2,0,2
Tenants_Mangment,com.smart_padel.spvending_management_api.club.infrastructure.dto.mapper,ClubMapper,9,91,0,0,4,33,1,4,1,4
Tenants_Mangment,com.smart_padel.spvending_management_api.machine.application.usecases,UpdateMachineUseCaseImpl,0,7,0,0,0,1,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.machine.application.usecases,RetrieveMachineUseCaseImpl,0,16,0,0,0,3,0,3,0,3
Tenants_Mangment,com.smart_padel.spvending_management_api.machine.application.usecases,CreateMachineUseCaseImpl,0,6,0,0,0,1,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.machine.application.usecases,DeleteMachineUseCaseImpl,0,5,0,0,0,1,0,1,0,1
Tenants_Mangment,com.smart_padel.spvending_management_api.user_manager.infrastructure.persistence.entity,UserManagerEntity,0,84,0,8,0,22,0,6,0,2
Tenants_Mangment,com.smart_padel.spvending_management_api.tenant.infrastructure.persistence.entity,TenantEntity,11,64,2,2,0,22,2,2,0,2
Tenants_Mangment,com.smart_padel.spvending_management_api.tenant.infrastructure.dto,TenantPagePreviewSwagger,3,0,0,0,1,0,1,0,1,0
Tenants_Mangment,com.smart_padel.spvending_management_api.tenant.infrastructure.dto,TenantPagePreviewSwagger.PageInfo,3,0,0,0,1,0,1,0,1,0
Tenants_Mangment,com.smart_padel.spvending_management_api.club.infrastructure.persistance.entity,ClubEntity,11,74,2,2,0,25,2,2,0,2
